response_id,submission_timestamp,completion_time_minutes,survey_version,device_type,Q1_industry_sector,Q2_annual_revenue,Q3_number_employees,Q4_geographic_location,Q5_energy_consumption_mwh,Q6_currently_using_h2,Q7_current_h2_source,Q8_annual_h2_consumption_tonnes,Q9_challenge_cost,Q9_challenge_supply,Q9_challenge_certification,Q9_challenge_logistics,Q9_challenge_safety,Q9_challenge_carbon,Q10_influence_uae_net_zero,Q10_influence_uae_hydrogen_strategy,Q10_influence_customer_requirements,Q10_influence_esg_standards,Q10_influence_eu_cbam,Q10_influence_investor_pressure,Q10_influence_board_mandate,Q10_influence_competitive_pressure,Q10_influence_government_incentives,Q10_influence_carbon_credits,Q11_cert_iso_14001,Q11_cert_iso_50001,Q11_cert_uae_ministry,Q11_cert_adnoc_hse,Q11_cert_international_cert,Q11_cert_blockchain_verified,Q11_cert_customer_specific,Q11_cert_carbon_neutral,Q11_cert_green_h2_cert,Q11_cert_none_required,Q12_stakeholder_ceo_csuite,Q12_stakeholder_procurement,Q12_stakeholder_sustainability_officer,Q12_stakeholder_operations,Q12_stakeholder_finance_cfo,Q12_stakeholder_board_directors,Q12_stakeholder_government_relations,Q12_stakeholder_environmental_team,Q12_stakeholder_supply_chain,Q12_stakeholder_external_consultants,Q13_transition_timeline,Q14_sustainability_budget_usd,Q15_h2_budget_percentage,Q16_roi_timeline,Q18_pricing_model,Q17_feature_real_time_pricing,Q17_feature_blockchain_cert,Q17_feature_carbon_tracking,Q17_feature_compliance_reporting,Q17_feature_supply_demand_matching,Q17_feature_logistics_optimization,Q17_feature_safety_monitoring,Q17_feature_predictive_analytics,Q17_feature_erp_integration,Q17_feature_mobile_app,Q17_feature_support_24_7,Q17_feature_insurance_coverage,Q19_integration_sap,Q19_integration_oracle,Q19_integration_microsoft_dynamics,Q19_integration_custom_erp,Q19_integration_iot_sensors,Q19_integration_scada,Q19_integration_banking,Q19_integration_government_portals,Q19_integration_no_integration,Q20_monthly_budget_usd,Q21_platform_fee_percentage,Q22_carbon_value_usd_per_tonne,Q23_likelihood_to_use,Q24_would_recommend,Q25_decision_timeline,Q26_main_concerns,Q27_additional_features,Q28_follow_up,Q28_contact_name,Q28_contact_email,Q28_contact_phone,Q28_contact_company,Q28_contact_title,company_profile_segment
RESP_00011,2025-10-21 14:39:37,8.8,1.0,Desktop,manufacturing,4,3,Sharjah/Northern Emirates,10000.0,0,not_applicable,0.0,5,4,3,4,3,4,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,2,117100.0,14.5,5,transaction_fee,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,33640.0,1.3,49.0,0,0,long,Regulatory compliance complexity,Benchmarking against industry peers,no,,,,,,mid_market
RESP_00012,2025-10-20 07:35:37,11.6,1.0,Desktop,transport,4,4,Abu Dhabi,2579.0,0,not_applicable,0.0,5,2,2,3,2,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,120100.0,9.5,5,monthly_subscription,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,24980.0,1.9,40.0,1,2,medium,Safety protocols and compliance,Customizable workflows,yes,Fatima Al-Ketbi,fatima.alketbi@example.com,+971-52-151-5262,TAQA,Operations Head,mid_market
RESP_00013,2025-10-30 20:52:37,15.3,1.0,Desktop,power,1,1,Saudi Arabia,126.0,0,not_applicable,0.0,4,4,2,4,3,5,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,13100.0,8.9,2,transaction_fee,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,500.0,4.2,32.0,0,0,long,Blockchain technology maturity,Real-time alerts and notifications,no,,,,,,small_innovative
RESP_00014,2025-11-02 05:10:37,9.3,1.0,Desktop,power,1,2,Dubai,179.0,1,grey,2.4,4,3,2,3,3,4,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,6,46100.0,41.4,4,freemium,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1560.0,3.0,54.0,1,1,short,Safety protocols and compliance,AI-powered demand forecasting,yes,Mariam Al-Rashid,mariam.alrashid@example.com,+971-55-329-2124,ADNOC Group,Sustainability Manager,small_innovative
RESP_00015,2025-10-15 07:01:37,14.6,1.0,Tablet,manufacturing,4,4,Saudi Arabia,4319.0,1,grey,25.7,4,5,2,3,2,3,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,4,217700.0,44.0,3,transaction_fee,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,50000.0,2.7,32.0,2,2,immediate,Vendor lock-in concerns,Automated reporting dashboards,yes,Fatima Al-Ketbi,fatima.alketbi@example.com,+971-51-677-4571,Mubadala,Operations Head,mid_market
RESP_00016,2025-10-21 11:53:37,16.9,1.0,Desktop,transport,4,3,Saudi Arabia,6935.0,0,not_applicable,0.0,4,4,3,4,4,3,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,55500.0,5.3,3,monthly_subscription,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,18270.0,2.9,66.0,1,1,short,Data security and privacy,Real-time alerts and notifications,yes,Fatima Al-Falasi,fatima.alfalasi@example.com,+971-51-692-1420,Masdar,Supply Chain Director,mid_market
RESP_00017,2025-10-10 09:28:37,14.1,1.0,Tablet,logistics,2,3,Abu Dhabi,952.0,1,grey,11.2,5,3,4,5,4,4,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,6,32100.0,48.0,2,transaction_fee,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4220.0,4.7,23.0,1,2,medium,Training requirements for staff,Real-time alerts and notifications,yes,Sara Al-Maktoum,sara.almaktoum@example.com,+971-54-970-2983,ADNOC Group,Operations Head,growing_company
RESP_00018,2025-10-19 20:36:37,9.4,1.0,Mobile,transport,2,3,Dubai,2000.0,0,not_applicable,0.0,3,5,2,5,3,4,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,2,28700.0,5.9,3,monthly_subscription,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,4550.0,3.7,60.0,0,0,long,Vendor lock-in concerns,API for custom integrations,no,,,,,,growing_company
RESP_00019,2025-10-13 17:48:37,13.2,1.0,Desktop,financial,2,2,Saudi Arabia,218.0,0,not_applicable,0.0,5,4,4,4,3,4,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2,52900.0,11.8,2,pay_per_use,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2080.0,2.8,20.0,-1,-2,long,Data security and privacy,Mobile app for field operations,no,,,,,,small_innovative
RESP_00020,2025-10-20 16:55:37,8.3,1.0,Mobile,manufacturing,2,2,Sharjah/Northern Emirates,1108.0,1,grey,23.3,5,2,3,5,3,4,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,6,48200.0,32.9,3,transaction_fee,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4730.0,2.7,79.0,1,1,short,Data security and privacy,Benchmarking against industry peers,yes,Fatima Al-Falasi,fatima.alfalasi@example.com,+971-59-927-9817,Mubadala,Energy Manager,growing_company
RESP_00021,2025-11-01 20:46:37,8.5,1.0,Desktop,financial,2,2,Abu Dhabi,264.0,1,grey,3.8,5,3,3,5,2,4,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,6,23900.0,43.7,4,monthly_subscription,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2250.0,5.0,22.0,1,2,short,Integration complexity with existing systems,Customizable workflows,yes,Mohammad Al-Falasi,mohammad.alfalasi@example.com,+971-57-349-8613,TAQA,Operations Head,small_innovative
RESP_00022,2025-10-13 21:29:37,15.1,1.0,Desktop,logistics,2,3,Saudi Arabia,406.0,0,not_applicable,0.0,4,3,4,3,3,4,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2,20200.0,12.4,3,freemium,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,4380.0,2.9,50.0,-1,-1,long,Vendor lock-in concerns,Integration with carbon credit markets,no,,,,,,growing_company
RESP_00023,2025-10-30 22:44:37,14.7,1.0,Desktop,manufacturing,2,3,Dubai,752.0,0,not_applicable,0.0,5,2,2,3,4,5,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,38700.0,13.1,4,monthly_subscription,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,4730.0,3.3,34.0,-1,-1,none,Blockchain technology maturity,Audit trail functionality,no,,,,,,growing_company
RESP_00024,2025-11-09 15:28:37,10.2,1.0,Desktop,power,2,2,Dubai,216.0,1,mixed,3.3,5,5,2,3,3,4,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,5,24400.0,32.4,2,transaction_fee,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,2770.0,2.6,57.0,1,1,short,Scalability for our operations,API for custom integrations,yes,Aisha Al-Ketbi,aisha.alketbi@example.com,+971-58-876-4937,Mubadala,Energy Manager,small_innovative
RESP_00025,2025-11-07 22:26:37,11.1,1.0,Desktop,power,4,4,Sharjah/Northern Emirates,3932.0,1,mixed,63.0,5,2,3,3,2,5,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,6,212700.0,28.2,2,freemium,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,50000.0,1.7,60.0,2,2,immediate,Training requirements for staff,Mobile app for field operations,yes,Sara Al-Falasi,sara.alfalasi@example.com,+971-59-477-8753,DP World,Energy Manager,mid_market
RESP_00026,2025-10-29 09:11:37,13.3,1.0,Desktop,chemical,2,2,Sharjah/Northern Emirates,451.0,1,grey,7.2,4,5,2,4,4,4,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,4,50100.0,37.2,4,transaction_fee,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,5210.0,3.4,39.0,0,0,long,Blockchain technology maturity,AI-powered demand forecasting,no,,,,,,growing_company
RESP_00027,2025-11-06 08:28:37,12.9,1.0,Mobile,financial,1,1,Dubai,131.0,0,not_applicable,0.0,3,2,2,5,3,5,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,12200.0,9.3,4,monthly_subscription,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,660.0,4.0,31.0,0,0,long,Training requirements for staff,Automated reporting dashboards,no,,,,,,small_innovative
RESP_00028,2025-11-04 00:53:37,14.8,1.0,Desktop,transport,3,2,Other GCC,494.0,0,not_applicable,0.0,4,2,3,4,4,3,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,59100.0,0.6,4,monthly_subscription,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,8190.0,4.7,67.0,-1,-1,none,Regulatory compliance complexity,Audit trail functionality,no,,,,,,growing_company
RESP_00029,2025-10-21 22:34:37,9.4,1.0,Desktop,transport,4,4,Saudi Arabia,6548.0,0,not_applicable,0.0,5,5,3,3,3,5,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,393400.0,11.6,4,transaction_fee,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,50000.0,2.4,72.0,0,0,long,Blockchain technology maturity,AI-powered demand forecasting,no,,,,,,mid_market
RESP_00030,2025-10-30 02:21:37,10.1,1.0,Desktop,refining,6,5,Dubai,28399.0,1,mixed,185.8,5,4,4,3,5,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,5,469200.0,45.3,2,monthly_subscription,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,50000.0,1.1,137.0,2,2,short,Scalability for our operations,Multi-language support including Arabic,yes,Mariam Al-Nahyan,mariam.alnahyan@example.com,+971-54-146-1893,Masdar,Procurement Director,large_industrial
RESP_00031,2025-10-14 07:04:37,11.3,1.0,Mobile,chemical,3,3,Sharjah/Northern Emirates,540.0,1,mixed,9.4,4,2,2,4,3,5,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,6,60700.0,45.0,3,transaction_fee,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,9690.0,4.3,59.0,1,1,immediate,Cost-benefit ratio unclear,Multi-language support including Arabic,yes,Hassan Al-Ketbi,hassan.alketbi@example.com,+971-55-288-1841,Masdar,Energy Manager,growing_company
RESP_00032,2025-10-28 16:36:37,11.7,1.0,Desktop,transport,3,4,Saudi Arabia,2856.0,1,mixed,17.3,5,3,2,5,2,4,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,6,30400.0,48.4,5,monthly_subscription,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,11780.0,2.3,33.0,2,2,medium,Cost-benefit ratio unclear,Audit trail functionality,yes,Ahmed Al-Nahyan,ahmed.alnahyan@example.com,+971-52-930-5978,Emirates Steel,Procurement Director,mid_market
RESP_00033,2025-10-16 18:02:37,16.9,1.0,Desktop,manufacturing,3,3,Saudi Arabia,555.0,0,not_applicable,0.0,4,2,4,3,2,3,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,49900.0,9.6,2,monthly_subscription,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,6620.0,2.4,64.0,-1,-2,long,Regulatory compliance complexity,AI-powered demand forecasting,no,,,,,,growing_company
RESP_00034,2025-10-16 15:16:37,11.9,1.0,Tablet,chemical,3,3,Abu Dhabi,3214.0,1,grey,29.0,5,5,2,5,2,5,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,6,179400.0,39.5,4,transaction_fee,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,28420.0,2.4,51.0,2,2,short,Cost-benefit ratio unclear,AI-powered demand forecasting,yes,Hassan Al-Falasi,hassan.alfalasi@example.com,+971-59-539-6003,ADNOC Group,Supply Chain Director,mid_market
RESP_00035,2025-10-21 01:24:37,10.0,1.0,Desktop,aluminum,6,6,Abu Dhabi,25749.0,1,mixed,375.5,2,3,4,3,3,4,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,4,838700.0,45.2,3,annual_license,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,50000.0,0.9,132.0,2,2,medium,Data security and privacy,Customizable workflows,yes,Fatima Al-Qassimi,fatima.alqassimi@example.com,+971-52-665-2229,EGA,Sustainability Manager,large_industrial
RESP_00036,2025-10-18 12:10:37,16.6,1.0,Mobile,transport,3,3,Saudi Arabia,913.0,1,grey,7.3,5,5,4,4,2,5,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,6,95500.0,28.1,3,monthly_subscription,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,12960.0,2.9,48.0,0,0,medium,Safety protocols and compliance,Integration with carbon credit markets,no,,,,,,growing_company
RESP_00037,2025-10-18 21:56:37,11.0,1.0,Desktop,transport,2,3,Abu Dhabi,406.0,0,not_applicable,0.0,4,4,4,4,3,5,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,2,45800.0,8.2,5,transaction_fee,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,4740.0,3.3,25.0,0,0,medium,Cost-benefit ratio unclear,AI-powered demand forecasting,no,,,,,,growing_company
RESP_00038,2025-10-11 22:50:37,11.5,1.0,Mobile,power,2,1,Sharjah/Northern Emirates,75.0,0,not_applicable,0.0,4,4,2,4,3,4,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,21600.0,14.8,3,pay_per_use,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1740.0,4.7,56.0,-2,-1,none,Regulatory compliance complexity,AI-powered demand forecasting,no,,,,,,small_innovative
RESP_00039,2025-10-28 04:06:37,8.0,1.0,Desktop,transport,2,3,Abu Dhabi,878.0,1,grey,7.7,5,4,2,4,3,4,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,4,46700.0,23.7,4,pay_per_use,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,4730.0,3.2,70.0,1,1,immediate,Regulatory compliance complexity,Benchmarking against industry peers,yes,Fatima Al-Falasi,fatima.alfalasi@example.com,+971-52-173-1977,EGA,Operations Head,growing_company
RESP_00040,2025-10-11 22:12:37,16.5,1.0,Desktop,refining,5,5,Dubai,13406.0,1,grey,90.8,3,2,5,2,5,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,300800.0,39.0,1,annual_license,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,50000.0,1.0,105.0,2,1,immediate,Cost-benefit ratio unclear,Benchmarking against industry peers,yes,Omar Al-Suwaidi,omar.alsuwaidi@example.com,+971-54-612-9847,Mubadala,Energy Manager,large_industrial
RESP_00041,2025-11-08 17:53:37,17.6,1.0,Desktop,chemical,4,4,Abu Dhabi,6546.0,1,not_applicable,66.6,3,2,3,3,2,4,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,5,177700.0,27.3,4,transaction_fee,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,38250.0,1.1,37.0,2,1,immediate,Integration complexity with existing systems,Automated reporting dashboards,yes,Omar Al-Rashid,omar.alrashid@example.com,+971-51-334-1339,Masdar,Supply Chain Director,mid_market
RESP_00042,2025-10-25 14:59:37,12.5,1.0,Desktop,transport,3,2,Other GCC,581.0,0,not_applicable,0.0,5,5,3,5,4,4,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,3,86200.0,5.5,3,transaction_fee,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,8370.0,4.7,37.0,0,0,medium,Blockchain technology maturity,Automated reporting dashboards,no,,,,,,growing_company
